 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="0.1000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.7026489720E+00   0.3635079000E+02   0.6863609415E-05   0.6863609420E-05  -0.1416976170E-15  -0.3848380475E-15   0.4779718502E-15
   0.2050000000E+01   0.0000000000E+00   0.7026489720E+00   0.3635079000E+02   0.6863608716E-05   0.6863608713E-05   0.1740468578E-15   0.2349609312E-14  -0.1283832142E-14
   0.2050000000E+01   0.7026489720E+00   0.7026489720E+00   0.3635078999E+02   0.6863608552E-05   0.6863608549E-05   0.2991629242E-14   0.2355133053E-14   0.4342654915E-15
   0.0000000000E+00   0.7026489720E+00   0.7026489720E+00   0.3635079000E+02   0.6863608079E-05   0.6863608080E-05   0.4895055733E-14  -0.7741553878E-14  -0.1486410254E-14
   0.4100000000E+01   0.0000000000E+00  -0.1092433049E-15   0.3635079000E+02   0.6863608702E-05   0.6863608705E-05  -0.4832801301E-15  -0.3268462353E-14  -0.5047222078E-15
   0.4100000000E+01   0.7026489720E+00  -0.1920948287E-15   0.3635079000E+02   0.6863608679E-05   0.6863608682E-05   0.6205126677E-14  -0.6629891400E-14   0.8220447556E-15
   0.4100000000E+01   0.0000000000E+00   0.7026489720E+00   0.3635079000E+02   0.6863608847E-05   0.6863608847E-05   0.1110321109E-14   0.2459815120E-14  -0.8448629876E-15
   0.4100000000E+01   0.7026489720E+00   0.7026489720E+00   0.3635078999E+02   0.6863608928E-05   0.6863608928E-05   0.1708732527E-14   0.1809143819E-14   0.4819039757E-15
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="0.8000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.4276874070E+02   0.2122286314E-04   0.2122286314E-04  -0.2140827075E-16   0.2990050285E-14   0.7243274525E-15
   0.2200000000E+01   0.0000000000E+00   0.6564103416E-16   0.4276874070E+02   0.2122286241E-04   0.2122286241E-04  -0.1039176001E-14  -0.1655748816E-14  -0.5001605022E-15
   0.2200000000E+01   0.6789886400E+00  -0.1338855127E-16   0.4276874070E+02   0.2122286312E-04   0.2122286313E-04  -0.1649401993E-14   0.2671736329E-14   0.3686187716E-15
